,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2021-11-02T16:02:29,-532.85944,1318.7928,1285.3359,1841.9004,959.24023,-981.82196,-31.121332,1048.695,-609.5575,-2769.931,-3083.972,2597.864,1950.8488,379.73276,-2018.9169,-826.6607,1167.0804,-3024.9067,3956.7512,-4041.389,680.51544,88.92694,1349.5831,-6.2946067,-2966.979,-492.77942,-1641.6554,-2830.884,-1157.3325,-1347.1232,-238.75108,-655.1511
2021-11-03T10:30:44,870.3124,398.7404,707.90247,-415.9076,-1242.5002,911.7714,420.61887,-28.996626,453.26993,408.9301,-585.41364,-52.828796,-859.5111,-515.22833,551.90283,196.27011,-34.13931,940.18475,-243.38634,337.78635,232.26967,-390.2727,-8.35608,120.65292,8.340089,180.18405,459.35706,498.2979,-677.68475,482.24222,354.4806,-1776.3308
2021-11-03T16:39:44,7495.6865,3679.747,-459.86722,-2416.492,4244.9155,-138.5822,1638.7332,2860.9377,1140.1844,4009.3655,5592.737,-434.42075,1346.4934,11.686811,3099.7114,-6559.212,-717.25635,578.5861,-4871.073,5296.9126,3224.8066,-1233.079,-2176.442,-4801.6025,-604.72107,3974.6355,3387.822,-7653.498,1309.2917,854.9409,1750.4595,-6146.41
2021-11-03T20:21:44,-37.30109,531.51733,758.6123,-469.2213,-1163.5529,675.68243,244.23724,-156.83531,636.4495,38.27353,-750.8713,-72.61526,-933.62317,157.27452,610.53546,-680.6309,434.00577,857.37213,-390.91928,102.8871,285.68927,-192.0959,182.18605,199.44893,-120.570496,109.024635,-438.6578,611.84766,-689.8586,425.19214,-215.7246,-1945.2949
2021-11-02T07:53:59,-401.7797,1026.0547,834.01965,-3833.968,-1825.5958,1656.0111,1351.8923,1178.8187,1971.3329,2041.1206,-125.5905,-396.29697,-979.61194,54.159634,-1195.651,-2159.509,418.94897,1023.3368,918.2718,-898.11725,798.82574,-769.42444,46.134705,-7.2220755,-318.31207,332.24255,-858.9879,-1171.8284,-1420.0548,-621.4331,416.22403,-4147.6777
2021-11-02T04:28:29,1160.1638,482.0226,1530.9214,638.9437,-784.66766,242.82272,435.5098,291.1235,111.29084,-764.76025,-849.2662,-180.3522,-687.91724,-254.09195,704.83136,-27.314219,166.88475,1064.5862,329.82358,155.3479,65.43068,174.32431,306.05923,-32.689636,72.51933,1043.7482,367.3238,-22.656404,-224.51279,274.9722,13.094871,-1108.4315
2021-11-03T11:39:29,807.79266,325.7809,1341.2125,162.86934,-754.5456,398.09488,3.1848125,-210.33824,163.18237,180.68358,-1280.2336,-1.5888863,-345.65414,301.49167,103.329445,112.63108,-195.10474,-215.94337,968.4915,9.343897,-24.65034,295.09692,277.3601,-54.99996,-253.65596,188.54382,99.020325,419.8602,-360.54205,431.9372,465.46277,-524.84924
2021-11-04T04:10:14,673.5421,445.7196,1322.5857,89.770706,-2065.8965,81.18373,807.9141,-243.45247,-166.06416,-1043.7368,-2020.573,86.92505,-1977.251,-719.80194,805.40985,75.95018,510.27567,1889.9746,-329.6699,-565.4827,296.3743,189.90512,65.75521,728.7278,-268.6107,-741.49133,-45.939083,957.96704,-1039.9277,863.7186,-166.84549,-2446.7925
2021-11-02T16:07:29,713.1109,-10.352045,737.6621,-360.0425,-850.35364,441.92404,451.73065,340.54758,-15.184173,325.24567,-812.6052,-60.994087,-611.7213,-779.6445,475.26987,119.50998,-6.5792756,735.13214,300.7072,-167.4444,-4.3216105,316.817,-166.74915,314.66556,227.04927,-516.78265,66.57042,25.620604,-269.51413,411.83627,339.6404,302.88898
2021-11-03T01:30:44,542.49646,813.32587,-565.33136,565.12134,302.98145,142.66971,-397.41003,1411.1562,-528.4951,-920.44495,549.6906,301.2262,-530.1695,-588.8547,479.8577,-3309.6382,844.1853,318.17346,-181.00214,49.56569,687.5015,75.63702,-173.33728,-862.21045,-486.81732,-942.29974,-741.27203,-1061.024,334.02148,668.30414,93.99814,1341.0314
2021-11-03T17:17:29,-754.3279,-582.8741,1070.9691,692.14624,-1118.0472,1530.163,64.29914,412.93167,1545.6714,-1636.8545,-585.99677,-1840.2095,-763.01025,-249.76962,443.0928,-1083.518,-348.55103,719.49133,-462.27283,-481.68732,-1512.4303,-1387.0087,1170.7616,-689.0507,536.5296,960.52594,-324.57648,480.2992,-1849.8799,33.697304,229.28368,-4746.9644
2021-11-03T15:28:29,413.06274,435.78027,261.79422,147.60414,-770.96545,982.63293,194.62682,-288.09677,583.50696,-106.21269,150.31554,-18.593725,-840.31525,56.172153,280.57742,-109.331604,156.66133,979.8239,-332.06903,446.47986,127.09325,-24.437815,-228.02406,305.52313,10.829134,298.7185,254.7076,796.0942,-82.31682,276.568,35.937344,-1311.1328
2021-11-03T08:31:44,324.3377,381.3632,496.23563,-590.44763,-874.2945,25.092241,473.0859,74.39113,119.09363,-227.73462,-618.35864,177.23514,-802.2998,-252.93565,629.63544,-347.00507,282.11353,959.4734,-444.82016,-353.2283,325.57977,260.3008,-206.88232,692.20087,-15.842201,-192.72824,-331.94638,440.54843,41.92101,602.4427,147.2252,-1150.0099
